ticket,opening_time_utc,closing_time_utc,type,lots,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd
170026238,2021-04-05T08:50:50,2021-04-05T08:54:57,sell,0.03,EURUSDm,1.17473,1.17463,1.17532,1.17415,0,0,0.3
170016369,2021-04-05T07:45:55,2021-04-05T08:04:42,buy,0.03,GBPAUDm,1.81838,1.81709,1.8165,1.82,0,0,-2.95
170002073,2021-04-05T06:01:31,2021-04-05T07:35:56,buy,0.03,GBPAUDm,1.81743,1.8180200000000002,1.8156,1.82,0,0,1.35
169996727,2021-04-05T05:16:01,2021-04-05T05:52:08,buy,0.05,XAUUSDm,1725.519,1724,1724,1726,0,0,-7.6
169992431,2021-04-05T04:19:10,2021-04-05T05:15:42,sell,0.02,XAUUSDm,1724.152,1725.526,1726,1723,0,0,-2.75
169985845,2021-04-05T02:56:09,2021-04-05T04:12:41,sell,0.02,XAUUSDm,1724.51,1724,1726.5,1724,0,0,1.02
169981022,2021-04-05T02:09:45,2021-04-05T02:40:20,sell,0.15,GBPUSDm,1.3837400000000002,1.3836400000000002,1.38412,1.38355,0,0,1.5
169759773,2021-04-01T09:39:16,2021-04-01T11:22:03,sell,0.05,GBPAUDm,1.8193000000000001,1.82176,0,0,0,0,-9.31
169766581,2021-04-01T10:39:38,2021-04-01T11:22:03,sell,0.05,NZDJPYm,77.261,77.307,0,0,0,0,-2.08
169770473,2021-04-01T11:10:22,2021-04-01T11:22:03,sell,0.15,XAUUSDm,1711.25,1713.248,0,0,0,0,-29.97
169770541,2021-04-01T11:10:38,2021-04-01T11:22:03,sell,0.26,XAUUSDm,1711.109,1713.248,0,0,0,0,-55.62
169771113,2021-04-01T11:13:21,2021-04-01T11:21:41,buy,0.15,XAUUSDm,1712.617,1712.711,0,0,0,0,1.41
169769820,2021-04-01T11:06:37,2021-04-01T11:11:37,sell,0.15,XAUUSDm,1711.474,1711.209,0,0,0,0,3.97
169769580,2021-04-01T11:05:20,2021-04-01T11:09:18,sell,0.15,XAUUSDm,1712.606,1711.566,0,0,0,0,15.6
169765233,2021-04-01T10:28:21,2021-04-01T11:07:55,buy,0.05,XAUUSDm,1715.808,1711.27,0,0,0,0,-22.69
169745975,2021-04-01T08:09:09,2021-04-01T08:24:06,buy,0.05,GBPCHFm,1.3043500000000001,1.3047700000000002,0,1.30555,0,0,2.22
169736868,2021-04-01T07:22:19,2021-04-01T07:27:34,buy,0.05,XAUUSDm,1718.525,1718.901,0,0,0,0,1.88
169737009,2021-04-01T07:23:04,2021-04-01T07:24:09,sell,0.05,XAUUSDm,1717.878,1717.608,0,0,0,0,1.35
